#Region	Chromosome	Start_position	End_position	Pass_or_flag	Read count	Median coverage	Minimum coverage	Median quality coverage	Minimum quality coverage	Maximum fraction of low mapping quality	Maximum fraction of low base quality
NRASExon2_0038	chr1	115258636	115258747	PASS	707	706	116	699	106	0	0.508
NRASExon2_0039	chr1	115258677	115258788	PASS	708	707	573	699	558	0	0.122
FAM5CExon7_0040	chr1	190129791	190129902	FLAG	237	103	103	103	99	0	0.456
FAM5CExon7_0041	chr1	190129879	190129990	PASS	386	281	137	237	131	0	0.516
FAM5CExon7_0042	chr1	190129956	190130072	PASS	283	147	147	147	137	0	0.516
FAM5CExon6_0043	chr1	190195189	190195300	FLAG	398	278	278	277	2	0	0.993
FAM5CExon6_0044	chr1	190195297	190195413	PASS	627	316	312	314	299	0	0.217
FAM5CExon6_0045	chr1	190195344	190195455	PASS	316	316	229	312	224	0	0.165
FAM5CExon5_0046	chr1	190203474	190203585	PASS	378	378	165	369	157	0	0.558
FAM5CExon5_0047	chr1	190203546	190203657	PASS	378	377	213	362	167	0	0.558
FAM5CExon4_0048	chr1	190233964	190234075	PASS	246	127	127	127	119	0	0.472
FAM5CExon4_0049	chr1	190234054	190234175	PASS	306	186	119	185	114	0	0.317
FAM5CExon4_0050	chr1	190234128	190234249	FLAG	186	181	67	127	2	0	0.97
FAM5CExon3_0051	chr1	190250674	190250790	FLAG	436	280	280	278	9	0	0.968
FAM5CExon3_0052	chr1	190250784	190250905	PASS	436	156	156	156	150	0	0.298
RET_0001	chr10	43572658	43572769	FLAG	59	9	9	9	0	0	1
RET_0002	chr10	43572761	43572872	FLAG	59	50	50	50	3	0	0.94
RET_0003	chr10	43595887	43596008	PASS	454	392	391	390	110	0	0.756
RET_0004	chr10	43595997	43596108	FLAG	981	589	62	572	61	0	0.835
RET_0005	chr10	43596064	43596180	FLAG	589	584.5	525	545.5	97	0	0.835
RET_0006	chr10	43597787	43597903	FLAG	350	182	182	181	13	0	0.929
RET_0007	chr10	43597882	43597993	FLAG	473	293	169	273	16	0	0.952
RET_0008	chr10	43597991	43598102	PASS	294	113	113	112	101	0	0.465
RET_0009	chr10	43600398	43600519	FLAG	186	108	108	107	98	0	0.33
RET_0010	chr10	43600504	43600620	FLAG	218	110	78	107	72	0	0.405
RET_0011	chr10	43600606	43600717	FLAG	110	30	30	30	28	0	0.609
RET_0012	chr10	43601807	43601923	FLAG	358	240	240	238	29	0	0.879
RET_0013	chr10	43601909	43602020	PASS	358	118	118	116	110	0	0.519
RET_0014	chr10	43604469	43604585	PASS	394	152	152	152	144	0	0.298
RET_0015	chr10	43604570	43604681	FLAG	394	242	242	241	68	0	0.827
RET_0016	chr10	43606645	43606756	FLAG	379	111	111	111	5	0	0.955
RET_0017	chr10	43606741	43606852	FLAG	570	455	265	441	63	0	0.827
RET_0018	chr10	43606807	43606918	PASS	456	455	190	441	176	0	0.52
RET_0019	chr10	43607537	43607648	PASS	563	373	372	371	204	0	0.637
RET_0020	chr10	43607622	43607733	PASS	562	182	182	182	167	0	0.331
RET_0021	chr10	43608284	43608395	PASS	943	427	426	425	409	0	0.494
RET_0022	chr10	43608375	43608486	FLAG	943	516	516	514	46	0	0.911
RET_0023	chr10	43608992	43609103	FLAG	119	119	93	116	86	0	0.252
RET_0024	chr10	43609022	43609133	FLAG	119	119	26	116	22	0	0.527
RET_0025	chr10	43609925	43610041	FLAG	358	232	230	227.5	18	0	0.922
RET_0026	chr10	43610039	43610160	PASS	369	138	124	135	113	0	0.477
RET_0027	chr10	43610109	43610220	FLAG	138	132	14	100	12	0	0.876
RET_0028	chr10	43612009	43612120	PASS	363	362	137	356	131	0	0.598
RET_0029	chr10	43612070	43612181	FLAG	363	363	222	357	8	0	0.964
RET_0030	chr10	43613818	43613929	FLAG	540	540	539	534	38	0	0.93
RET_0031	chr10	43614972	43615088	FLAG	217	39	39	39	36	0	0.66
RET_0032	chr10	43615077	43615193	PASS	398	359	180	349.5	171	0	0.208
RET_0033	chr10	43615144	43615255	PASS	359	359	178	349	170	0	0.137
RET_0034	chr10	43615514	43615625	FLAG	284	284	207	272	91	0	0.68
RET_0035	chr10	43615582	43615693	FLAG	284	283	77	276	68	0	0.68
RET_0036	chr10	43617358	43617469	FLAG	402	401	401	399	17	0	0.958
RET_0037	chr10	43619089	43619200	FLAG	433	432	55	426	53	0	0.841
RET_0038	chr10	43619146	43619257	FLAG	433	433	378	425	15	0	0.961
RET_0039	chr10	43620324	43620435	FLAG	366	366	366	363	19	0	0.948
RET_0040	chr10	43622020	43622131	FLAG	355	268	261	261	6	0	0.977
RET_0041	chr10	43622101	43622212	FLAG	355	91	91	91	85	0	0.532
RET_0042	chr10	43623544	43623665	PASS	661	661	229	633	223	0	0.623
RET_0043	chr10	43623618	43623739	PASS	661	661	430	641	249	0	0.623
PTENExon5_0053	chr10	89692758	89692874	PASS	548	427	427	424	413	0.002	0.166
PTENExon5_0054	chr10	89692856	89692967	FLAG	768	341	121	337	4	0.002	0.984
PTENExon5_0055	chr10	89692959	89693075	FLAG	341	220	219	218	6	0	0.981
PTENExon6_0056	chr10	89711865	89711986	PASS	491	491	182	486	179	0	0.579
PTENExon6_0057	chr10	89711912	89712023	PASS	491	491	308	486	298	0	0.371
PTENExon7_0058	chr10	89717580	89717701	PASS	549	336	336	335	324	0	0.176
PTENExon7_0059	chr10	89717673	89717784	PASS	550	215	213	213	206	0	0.378
PTENExon8_0060	chr10	89720633	89720754	FLAG	847	45	45	45	41	0.032	0.785
PTENExon8_0061	chr10	89720724	89720845	PASS	849	804	235	790	222	0.03	0.421
PTENExon8_0062	chr10	89720775	89720891	PASS	817	803	614	787	591	0.009	0.09
WT1Exon11_0064	chr11	32413506	32413617	FLAG	62	62	62	62	59	0	0.048
WT1_exon8_0001	chr11	32414196	32414307	PASS	681	681	680	675	657	0	0.035
WT1Exon7_0065	chr11	32417768	32417879	PASS	510	295	292	292	223	0	0.562
WT1Exon7_0066	chr11	32417852	32417963	PASS	510	218	217	218	203	0	0.245
WT1_exon6_0002	chr11	32421488	32421599	FLAG	131	131	131	129	0	0	1
CBLExon4_0067	chr11	119144572	119144693	FLAG	2016	1503	1447	1442	47	0	0.968
CBLExon4_0068	chr11	119144654	119144770	PASS	2015	880	569	588.5	550	0	0.639
CBLExon5_0069	chr11	119145509	119145625	PASS	1409	335.5	291	292.5	282	0	0.5
CBLExon5_0070	chr11	119145595	119145706	PASS	1409	1118	1118	1115	317	0	0.775
CBLExon6_0072	chr11	119146754	119146875	FLAG	205	205	205	203	10	0	0.951
CBLExon8_0074	chr11	119148846	119148962	PASS	796	506	505	503	126	0	0.773
CBLExon8_0075	chr11	119148951	119149072	FLAG	796	252	252	251	7	0	0.972
CBLExon9_0076	chr11	119149200	119149311	PASS	894	373	373	369	143	0	0.831
CBLExon9_0077	chr11	119149296	119149412	PASS	1218	841	838	837	346	0	0.589
CBLExon9_0078	chr11	119149345	119149456	PASS	841	841	324	831	309	0	0.589
ETV6Exon1_0079	chr12	11803008	11803119	PASS	140	140	140	139	131	0	0.064
ETV6Exon3_0080	chr12	11992061	11992182	PASS	473	303	301	301	287	0	0.11
ETV6Exon3_0081	chr12	11992168	11992284	PASS	473	170	170	169	161	0	0.268
ETV6Exon5_0082	chr12	12022329	12022445	PASS	640	326	325	325	317	0	0.196
ETV6Exon5_0083	chr12	12022419	12022530	PASS	719	392	314	387	295	0	0.44
ETV6Exon5_0084	chr12	12022524	12022645	FLAG	492	176	77	171	7	0	0.91
ETV6Exon5_0085	chr12	12022615	12022726	FLAG	585	176	86	167	79	0	0.584
ETV6Exon5_0086	chr12	12022723	12022844	FLAG	843	423	408	407	14	0	0.966
ETV6Exon5_0087	chr12	12022832	12022948	FLAG	757	350	349	347	54	0	0.923
ETV6Exon6_0088	chr12	12037373	12037484	FLAG	475	88	83	82	75	0	0.762
ETV6Exon6_0089	chr12	12037453	12037569	FLAG	475	389	386	385	20	0	0.948
ETV6Exon7_0090	chr12	12038851	12038962	FLAG	361	361	361	359	48	0	0.867
ETV6Exon7_0091	chr12	12038857	12038968	FLAG	361	361	361	359	48	0	0.867
ETNK1Exon3_0092	chr12	22811938	22812054	PASS	342	341	292	337	287	0	0.058
ETNK1Exon3_0093	chr12	22812008	22812119	FLAG	342	341	49	333	47	0	0.632
KRASExon5_0094	chr12	25362716	25362827	FLAG	215	214	24	212	23	0	0.643
KRASExon5_0095	chr12	25362772	25362883	PASS	215	215	191	213	187	0	0.08
KRASExon4_0096	chr12	25378513	25378629	FLAG	76	76	76	76	72	0	0.053
KRASExon3_0098	chr12	25380145	25380266	PASS	278	175	175	175	170	0	0.18
KRASExon3_0099	chr12	25380262	25380378	FLAG	277	103	103	103	4	0	0.963
KRASExon2_0100	chr12	25398175	25398286	FLAG	429	326	326	325	17	0	0.948
KRASExon2_0101	chr12	25398284	25398395	FLAG	429	103	103	103	4	0	0.961
SH2B3Exon3_0111	chr12	111884544	111884655	PASS	1147	1147	529	1132	515	0	0.523
SH2B3Exon3_0112	chr12	111884592	111884703	PASS	1352	1146	616	1129	547	0	0.523
SH2B3Exon4_0113	chr12	111884714	111884825	PASS	1367	755	728	744	219	0	0.701
SH2B3Exon4_0114	chr12	111884740	111884851	PASS	755	747	533	740	219	0	0.701
SH2B3Exon5_0115	chr12	111884895	111885006	PASS	2658	1234	1233	1230	1187	0	0.209
SH2B3Exon5_0116	chr12	111884989	111885100	PASS	2659	1424	1421	1414	800	0	0.692
SH2B3Exon6_0117	chr12	111885124	111885235	FLAG	1464	1463	1461	1447	48	0	0.967
SH2B3Exon6_0119	chr12	111885288	111885404	FLAG	38	36	36	33	2	0	0.947
SH2B3Exon7_0120	chr12	111885441	111885552	PASS	564	292	290	290	273	0	0.201
SH2B3Exon7_0121	chr12	111885526	111885637	PASS	563	272	272	270	254	0	0.467
SH2B3Exon8_0122	chr12	111885753	111885869	PASS	901	207	207	206	197	0	0.455
SH2B3Exon8_0123	chr12	111885856	111885972	PASS	1686	901	695	894	663	0	0.191
SH2B3Exon8_0124	chr12	111885941	111886052	PASS	2484	1788	1177	1734	727	0	0.548
SH2B3Exon8_0125	chr12	111886014	111886125	PASS	1794	1664	1007	1128	809	0	0.548
PTPN11Exon3_0126	chr12	112888105	112888216	PASS	447	275	274	272	266	0.021	0.327
PTPN11Exon3_0127	chr12	112888213	112888334	FLAG	449	168	168	167	6	0.02	0.964
PTPN11Exon13_0128	chr12	112926798	112926914	PASS	1333	993	992	990	350	0.002	0.737
PTPN11Exon13_0129	chr12	112926883	112926994	PASS	1332	427	337	347	316	0.002	0.562
PTPN11Exon14_0130	chr12	112939930	112940041	FLAG	821	744	744	739	21	0	0.972
PTPN11Exon14_0131	chr12	112940039	112940150	FLAG	821	79	78	78	75	0	0.713
FLT3Exon20_0132	chr13	28592571	28592682	PASS	775	481	480	479	312	0	0.597
FLT3Exon20_0133	chr13	28592662	28592773	PASS	776	295	295	295	285	0	0.381
FLT3Exon16_0134	chr13	28602308	28602419	PASS	632	552	549	549	523	0	0.104
FLT3Exon16_0135	chr13	28602389	28602500	FLAG	632	150	80	85	76	0	0.636
FLT3Exon15_0136	chr13	28608011	28608122	PASS	1332	1332	982	1319	952	0	0.252
FLT3Exon15_0137	chr13	28608059	28608170	PASS	1332	1332	350	1320	338	0	0.551
FLT3Exon14_0138	chr13	28608196	28608307	PASS	1482	1482	279	1465	271	0	0.533
FLT3Exon14_0139	chr13	28608256	28608372	FLAG	1482	1480	1145	1465	22	0	0.981
IDH2Exon4_0140	chr15	90631796	90631907	FLAG	1124	400	400	398	28	0	0.93
IDH2Exon4_0141	chr15	90631888	90631999	FLAG	1124	724	724	720	30	0	0.959
TP53_NM_001126115_0142	chr17	7572900	7573011	FLAG	477	477	475	469	51	0	0.893
TP53_NM_001126115_0143	chr17	7573925	7574036	PASS	372	368	367	366	354	0	0.035
TP53_NM_001126114_0144	chr17	7576535	7576646	PASS	438	438	298	432	143	0	0.674
TP53_NM_001126114_0145	chr17	7576595	7576706	PASS	438	438	140	432	135	0	0.674
TP53_NM_001126114_0146	chr17	7576819	7576930	PASS	447	445	445	442	427	0	0.04
TP53_NM_001126114_0147	chr17	7576997	7577108	PASS	1942	1424	1423	1412	1367	0	0.088
TP53_NM_001126114_0148	chr17	7577103	7577224	FLAG	1939	517	517	514	23	0	0.956
TP53_NM_001126114_0150	chr17	7577532	7577643	PASS	2634	2630	2588	2606	2522	0	0.037
TP53_NM_001126114_0151	chr17	7578172	7578283	FLAG	2806	2801	1589	2745	86	0	0.946
TP53_NM_001126114_0152	chr17	7578246	7578357	PASS	3314	1720	1212	1711	1173	0	0.511
TP53_NM_001126114_0153	chr17	7578362	7578473	PASS	2392	1171	507	1065	486	0.001	0.666
TP53_NM_001126114_0154	chr17	7578449	7578560	PASS	1181	675	674	670	653	0.001	0.211
TP53_NM_001126114_0155	chr17	7579282	7579393	FLAG	1929	1924	1901	1905	76	0	0.96
TP53_NM_001126114_0156	chr17	7579363	7579474	FLAG	3103	1172	2	1153	1	0	0.971
TP53_NM_001126114_0157	chr17	7579460	7579581	PASS	3565	3558	1169	3484	1108	0	0.334
TP53_NM_001126114_0158	chr17	7579521	7579637	PASS	3560	3558	2381	3482.5	2311	0	0.293
TP53_NM_001126114_0159	chr17	7579697	7579808	FLAG	135	21	21	21	1	0	0.952
TP53_NM_001126114_0160	chr17	7579803	7579914	FLAG	141	103	97	100	7	0	0.932
NF1Exon2_0161	chr17	29482995	29483106	PASS	397	397	186	391	176	0	0.511
NF1Exon2_0162	chr17	29483042	29483153	PASS	397	397	211	390	194	0	0.511
NF1Exon4_0163	chr17	29490178	29490299	PASS	311	110	110	110	104	0	0.314
NF1Exon4_0165	chr17	29490321	29490442	PASS	215	203	182	200	177	0	0.074
NF1Exon5_0167	chr17	29496987	29497098	FLAG	328	321	321	320	3	0	0.991
NF1Exon8_0169	chr17	29509494	29509610	FLAG	583	241	241	241	5	0	0.979
NF1Exon8_0170	chr17	29509589	29509710	PASS	583	342	342	341	334	0	0.4
NF1Exon9_0171	chr17	29527407	29527518	FLAG	754	66	66	66	62	0.003	0.787
NF1Exon9_0172	chr17	29527488	29527599	PASS	754	688	687	686	300	0.001	0.569
NF1Exon9_0173	chr17	29527510	29527621	PASS	754	688	687	684	300	0.001	0.569
NF1Exon12_0175	chr17	29533351	29533462	FLAG	350	100	100	100	89	0	0.413
NF1Exon13_0176	chr17	29541456	29541577	FLAG	156	153	68	73	65	0	0.551
NF1Exon13_0177	chr17	29541540	29541661	FLAG	156	97	88	88	70	0	0.551
NF1Exon14_0178	chr17	29546017	29546128	PASS	598	590	400	507	198	0	0.668
NF1Exon14_0179	chr17	29546087	29546198	PASS	598	596	196	584	189	0	0.668
NF1Exon17_0181	chr17	29552078	29552189	FLAG	291	288	288	286	1	0	0.997
NF1Exon18_0183	chr17	29553434	29553555	PASS	245	243	241	240	228	0	0.058
NF1Exon18_0184	chr17	29553536	29553647	FLAG	635	245	2	242	1	0.012	0.962
NF1Exon18_0185	chr17	29553620	29553731	PASS	392	386	386	385	370	0.003	0.041
NF1Exon19_0186	chr17	29554213	29554324	FLAG	86	86	86	86	80	0	0.07
NF1Exon21_0187	chr17	29556037	29556158	PASS	177	140	139	139	132	0.014	0.074
NF1Exon21_0188	chr17	29556139	29556255	FLAG	292	152	37	148	35	0.027	0.614
NF1Exon21_0189	chr17	29556251	29556362	FLAG	290	153	116	146	3	0.007	0.974
NF1Exon21_0190	chr17	29556345	29556466	FLAG	364	247	136	245	48	0.004	0.803
NF1Exon21_0191	chr17	29556430	29556541	PASS	247	117	108	108	103	0	0.459
NF1Exon22_0192	chr17	29556822	29556938	FLAG	426	286	286	283	5	0.01	0.983
NF1Exon22_0193	chr17	29556931	29557042	PASS	427	140	139	140	137	0.009	0.347
NF1Exon25_0195	chr17	29559057	29559168	PASS	774	476	463	465	348	0	0.323
NF1Exon25_0196	chr17	29559135	29559246	FLAG	770	309	309	309	4	0	0.987
NF1Exon27_0197	chr17	29559991	29560112	PASS	188	120	120	119	115	0	0.31
NF1Exon27_0198	chr17	29560090	29560211	FLAG	232	107	104	107	61	0	0.43
NF1Exon27_0199	chr17	29560150	29560261	FLAG	107	104	44	103	42	0	0.43
NF1Exon33_0209	chr17	29586048	29586159	PASS	295	295	289	293	280	0	0.031
NF1Exon34_0210	chr17	29587357	29587468	FLAG	624	582	90	365	87	0	0.837
NF1Exon34_0211	chr17	29587428	29587549	FLAG	624	624	534	536	3	0	0.994
NF1Exon35_0212	chr17	29588695	29588811	FLAG	401	232	231	231	18	0	0.922
NF1Exon35_0213	chr17	29588809	29588930	FLAG	401	169	167	168	5	0	0.97
NF1Exon36_0214	chr17	29592216	29592327	PASS	485	191	191	188	183	0.01	0.36
NF1Exon36_0215	chr17	29592324	29592435	PASS	485	294	293	293	286	0.004	0.359
NF1Exon37_0216	chr17	29652818	29652929	FLAG	202	35	15	19	13	0	0.813
NF1Exon37_0217	chr17	29652900	29653011	PASS	485	202	187	200	182	0	0.59
NF1Exon37_0218	chr17	29653006	29653117	FLAG	544	291	283	283	15	0	0.947
NF1Exon37_0219	chr17	29653111	29653222	FLAG	1177	354	74	348	2	0	0.973
NF1Exon37_0220	chr17	29653211	29653327	PASS	897	823	823	820	797	0	0.07
NF1Exon38_0221	chr17	29654509	29654630	FLAG	1173	910	910	906	41	0	0.955
NF1Exon38_0222	chr17	29654607	29654723	PASS	1616	706	263	698.5	253	0	0.696
NF1Exon38_0223	chr17	29654693	29654804	PASS	910	678	639	645	278	0	0.606
NF1Exon38_0224	chr17	29654767	29654888	PASS	647	206	206	206	197	0	0.511
NF1Exon39_0226	chr17	29657388	29657499	FLAG	473	385	385	385	17	0	0.958
NF1Exon39_0227	chr17	29657473	29657594	FLAG	473	82	82	82	79	0	0.551
NF1Exon40_0228	chr17	29661828	29661939	FLAG	533	271	271	270	3	0	0.989
NF1Exon40_0229	chr17	29661928	29662039	PASS	852	533	253	528	245	0	0.444
NF1Exon40_0230	chr17	29662012	29662123	FLAG	572	300	300	300	13	0	0.957
NF1Exon42_0231	chr17	29663624	29663740	FLAG	301	84	81	84	80	0	0.383
NF1Exon42_0232	chr17	29663719	29663840	PASS	397	301	217	296	208	0	0.114
NF1Exon42_0233	chr17	29663828	29663949	FLAG	313	95	95	95	1	0	0.99
NF1Exon43_0234	chr17	29664370	29664481	PASS	403	203	203	202	198	0	0.12
NF1Exon43_0235	chr17	29664464	29664580	PASS	404	187	186	187	146	0	0.219
NF1Exon43_0236	chr17	29664495	29664606	PASS	403	187	145	186	141	0	0.219
NF1Exon45_0237	chr17	29665037	29665148	PASS	388	388	194	384	192	0	0.487
NF1Exon45_0238	chr17	29665081	29665192	PASS	388	388	194	384	190	0	0.487
NF1Exon47_0239	chr17	29667511	29667627	PASS	303	303	179	298	173	0	0.378
NF1Exon47_0240	chr17	29667566	29667677	PASS	303	303	124	298	119	0	0.3
NF1Exon49_0241	chr17	29676120	29676241	FLAG	1588	708	707	706	23	0	0.978
NF1Exon49_0242	chr17	29676226	29676347	PASS	1589	881	880	877	817	0	0.218
NF1Exon50_0243	chr17	29677193	29677309	PASS	491	194	189	189	181	0	0.446
NF1Exon50_0244	chr17	29677274	29677390	FLAG	491	348.5	297	301.5	9	0	0.97
NF1Exon53_0246	chr17	29684007	29684128	FLAG	169	167	162	166	17	0	0.898
NF1Exon55_0248	chr17	29685577	29685688	FLAG	189	176	176	176	15	0	0.915
NF1Exon58_0249	chr17	29701005	29701116	FLAG	299	79	79	79	74	0	0.5
NF1Exon58_0250	chr17	29701105	29701216	PASS	299	220	220	219	214	0	0.151
SRSF2Exon1_0253	chr17	74732991	74733102	FLAG	67	5	5	5	5	0	0.82
SRSF2Exon1_0254	chr17	74733071	74733182	FLAG	69	64	62	63	58	0	0.09
SETBP1Exon2_0256	chr18	42281279	42281390	PASS	1139	989	988	983	170	0	0.851
SETBP1Exon2_0257	chr18	42281363	42281479	PASS	1523	527	150	394.5	142	0	0.682
SETBP1Exon2_0258	chr18	42281477	42281593	PASS	767	536	387	514.5	270	0	0.562
SETBP1Exon2_0259	chr18	42281571	42281687	PASS	790	382	230	379	159	0	0.584
SETBP1Exon2_0261	chr18	42281714	42281825	PASS	456	455	275	444	261	0	0.257
SETBP1Exon3_0262	chr18	42449145	42449256	FLAG	209	209	209	207	2	0	0.99
SETBP1Exon4_0263	chr18	42529839	42529960	FLAG	909	516	515	513	21	0	0.959
SETBP1Exon4_0264	chr18	42529939	42530050	PASS	1135	618	392	607	386	0	0.528
SETBP1Exon4_0265	chr18	42530041	42530152	PASS	872	479	225	468	218	0	0.6
SETBP1Exon4_0266	chr18	42530130	42530241	PASS	931	479	246	476	239	0	0.323
SETBP1Exon4_0267	chr18	42530222	42530338	PASS	1507	698	454	689.5	279	0	0.601
SETBP1Exon4_0268	chr18	42530319	42530430	PASS	1266	811	807	805	780	0	0.343
SETBP1Exon4_0270	chr18	42530485	42530601	PASS	967	860	856	854	832	0	0.1
SETBP1Exon4_0271	chr18	42530574	42530685	PASS	1130	274	109	274	106	0	0.713
SETBP1Exon4_0272	chr18	42530655	42530776	PASS	430	274	144	273	141	0	0.26
SETBP1Exon4_0273	chr18	42530746	42530857	PASS	597	300	166	299	155	0	0.341
SETBP1Exon4_0274	chr18	42530828	42530949	PASS	504	345	294	343	287	0	0.248
SETBP1Exon4_0275	chr18	42530932	42531048	FLAG	999	345	48	342	46	0	0.813
SETBP1Exon4_0276	chr18	42531018	42531129	FLAG	939	702	603	698	91	0	0.87
SETBP1Exon4_0277	chr18	42531104	42531215	PASS	1075	437	199	430	190	0	0.54
SETBP1Exon4_0278	chr18	42531208	42531319	FLAG	771	437	215	429	10	0	0.953
SETBP1Exon4_0279	chr18	42531288	42531399	FLAG	636	422	334	417	10	0	0.97
SETBP1Exon4_0280	chr18	42531392	42531513	FLAG	593	101	89	89	84	0	0.486
SETBP1Exon4_0281	chr18	42531509	42531620	FLAG	597	258	173	208	15	0	0.914
SETBP1Exon4_0282	chr18	42531605	42531721	PASS	1176	507	334	501.5	108	0	0.779
SETBP1Exon4_0283	chr18	42531701	42531812	PASS	1318	972	667	931	647	0	0.242
SETBP1Exon4_0284	chr18	42531805	42531921	FLAG	1234	323.5	317	317	34	0	0.893
SETBP1Exon4_0285	chr18	42531915	42532026	PASS	873	251	250	250	240	0	0.403
SETBP1Exon4_0286	chr18	42532024	42532140	FLAG	1102	555	304	549.5	4	0	0.987
SETBP1Exon4_0287	chr18	42532111	42532227	PASS	1641	850	545	847.5	324	0	0.619
SETBP1Exon4_0288	chr18	42532198	42532309	PASS	1425	880	791	875	572	0	0.572
SETBP1Exon4_0289	chr18	42532302	42532418	FLAG	1095	303	88	295	3	0	0.966
SETBP1Exon4_0290	chr18	42532389	42532510	PASS	1082	303	215	302	211	0	0.45
SETBP1Exon4_0291	chr18	42532480	42532591	PASS	1303	994	778	984	251	0	0.747
SETBP1Exon4_0292	chr18	42532582	42532693	PASS	1574	470	307	320	293	0	0.708
SETBP1Exon4_0293	chr18	42532684	42532795	PASS	1024	715	487	622	474	0	0.307
SETBP1Exon4_0294	chr18	42532772	42532893	PASS	1043	554	230	546	220	0	0.44
SETBP1Exon4_0295	chr18	42532870	42532991	PASS	1031	554	326	541	305	0	0.407
SETBP1Exon4_0296	chr18	42532977	42533093	PASS	1133	801	474	715.5	459	0	0.392
SETBP1Exon4_0297	chr18	42533064	42533175	PASS	908	422	320	415	250	0	0.461
SETBP1Exon4_0298	chr18	42533148	42533259	FLAG	680	338	80	337	78	0	0.564
SETBP1Exon4_0299	chr18	42533236	42533347	FLAG	338	250	250	250	6	0	0.976
SETBP1Exon5_0300	chr18	42618439	42618560	FLAG	1558	626	626	623	9	0	0.986
SETBP1Exon5_0301	chr18	42618548	42618669	PASS	1559	928	927	924	897	0	0.362
SETBP1Exon6_0305	chr18	42643038	42643149	PASS	181	124	124	124	118	0	0.279
SETBP1Exon6_0306	chr18	42643118	42643229	FLAG	205	81	60	81	55	0	0.379
SETBP1Exon6_0307	chr18	42643200	42643316	FLAG	164	81	23	81	19	0	0.309
SETBP1Exon6_0308	chr18	42643295	42643406	FLAG	107	82	81	82	75	0	0.233
SETBP1Exon6_0309	chr18	42643608	42643719	FLAG	69	69	69	68	1	0	0.986
CALRExon9_0332	chr19	13054500	13054611	PASS	624	493	493	491	469	0	0.16
CALRExon9_0333	chr19	13054584	13054695	FLAG	693	183	114	182	70	0	0.615
CALRExon9_0334	chr19	13054671	13054782	FLAG	183	68	68	68	62	0	0.307
U2AF2Exon5_0335	chr19	56172374	56172495	FLAG	161	161	36	154	32	0	0.77
U2AF2Exon5_0336	chr19	56172451	56172572	FLAG	161	158	113	131	37	0	0.77
U2AF2Exon6_0337	chr19	56173858	56173969	PASS	368	367	172	362	163	0	0.535
U2AF2Exon6_0338	chr19	56173881	56173992	PASS	368	367	202	361	171	0	0.535
